ID,Name,Dec
1000.0,गोल्ड भर्ती,81 से ऊपर एक संयुक्त स्टेट के साथ भर्ती 1 यादृच्छिक खिलाड़ी।
1001.0,गोल्ड पैकेज,81 से ऊपर एक संयुक्त स्टेट के साथ 5 यादृच्छिक खिलाड़ियों की भर्ती।
1002.0,खिलाड़ी भर्ती,भर्ती 1 यादृच्छिक खिलाड़ी।
1003.0,सिल्वर भर्ती,76 से ऊपर एक संयुक्त आंकड़े के साथ 1 यादृच्छिक खिलाड़ी भर्ती।
1004.0,गोल्ड भर्ती,81 से ऊपर एक संयुक्त स्टेट के साथ भर्ती 1 यादृच्छिक खिलाड़ी।
1005.0,प्लैटिनम भर्ती,84 या उच्चतर के संयुक्त जीपीए के साथ 1 यादृच्छिक खिलाड़ी भर्ती।
1006.0,बुनियादी पैकेज,भर्ती 5 यादृच्छिक खिलाड़ी।
1007.0,रजत पैकेज,76 से ऊपर एक संयुक्त आंकड़े के साथ 5 यादृच्छिक खिलाड़ियों की भर्ती।
1008.0,गोल्ड पैकेज,81 से ऊपर एक संयुक्त स्टेट के साथ 5 यादृच्छिक खिलाड़ियों की भर्ती।
1009.0,प्लैटिनम पैकेज,84 या उच्चतर के संयुक्त जीपीए के साथ 5 यादृच्छिक खिलाड़ियों की भर्ती करें।
1010.0,2021Season भर्ती,20SPR-20SUM सीजन से 1 यादृच्छिक खिलाड़ी भर्ती।
1011.0,2021season पैकेज, (सीमा सहित)
1012.0,पिछला सीजन भर्ती,20SPR-20SUM सीजन से 5 यादृच्छिक खिलाड़ी भर्ती।
1013.0,पिछला सीजन पैकेज, (सीमा सहित)
1014.0,Recrutamento da temporada anterior,5 jogadores aleatórios da temporada de 18 a 20 anos são recrutados.
1015.0,Pacote da temporada anterior, (Não incluindo a limitação)
1012.0,Recrutamento da temporada anterior,Um jogador aleatório da temporada de 18 a 20 anos é recrutado.
1013.0,Pacote da temporada anterior, (Não incluindo a limitação)
1016.0,Recrutamento de treinadores,Um jogador aleatório da temporada de 18 a 20 anos é recrutado.
1017.0,Alterar o nome da equipe, (Não incluindo a limitação)
