teamID,Dec
1000000,Derrote todas as equipes da Liga Kr na 18 temporada.
1000001,Derrote todas as equipes da Liga Kr na temporada de 19 primavera.
1000002,Derrote todas as equipes da Liga Kr na 19 temporada de verão.
1000003,Derrote todas as equipes Top10 da Multi Match 19 Top10.
1000004,Derrote todas as equipes da Liga Kr na temporada de 20 primavera.
1000005,Derrote todas as equipes da UE League na temporada de 20 primavera.
1000006,Derrote todas as equipes da NA League na temporada de 20 primavera.
1000007,Derrote todas as equipes da Liga Kr na temporada de 20 de verão.
1000008,Derrote todas as equipes da UE League na temporada de 20 de verão.
1000009,Derrote todas as equipes da NA League na temporada de 20 de verão.
1000010,Derrote todas as equipes Top10 de Multi Match 20 Temporada.
1000011,Derrote todas as equipes da Liga Kr na temporada de 20 primavera.
1000012,Derrote todas as equipes da UE League na temporada de 20 primavera.
1000013,Derrote todas as equipes da NA League na temporada de 20 primavera.
1000014,Derrote todas as equipes Top10 da temporada 21-1 da Multi.
1000015,Derrote todas as equipes Top10 da temporada Multi Multi 21-2.
