ID,Dec
11000,您的团队凭借出色的教练赢得了联盟！ 让我们准备赢得世界冠军。
11001,尽管没有赢，但它做得很好。 雪沐浴是在世界冠军中完成的！
11002,这不是冠军。 但是，我们成功地晋升为世界冠军！
11003,这不是冠军。 但这是一个很好的排名，试图在下个赛季获胜。
11004,避免了最糟糕的情况，但这不是一个很好的排名。 对于更高的排名}我认为它需要维护。
11005,我们以最糟糕的位置结束了赛季。 对于支持我们的球迷}让我们在下一个赛季进一步。
11006,球队通过出色的教练赢得了世界冠军！ 玩家和球迷庆祝您的伟大命令。 恭喜。
11007,它没有赢，但做得很好。 让我们尝试下个赛季赢得世界冠军！
11008,不幸的是，这是一个很棒的成绩。 让我们下个赛季提高力量，并尝试赢得下一个世界冠军。
11009,您已经成功参加了比赛。 下个赛季，让我们参加更高的比赛。
11010,不幸的是，比赛失败了。 不幸的是，让我们在下个赛季晋级世界冠军并瞄准冠军。
20000,线展览 /操作
20001,余额
20002,团队战斗
20003,自定义
21000,这是一种基于激烈的线战而滚雪球的策略。 {{ - 当您进行强大的线路战斗时，这是合适的。 {当您有弱打击时，您可以将其恢复为一枪。
21001,阵容} Team Fight}操作以平衡的方式玩游戏。 {{ - 当玩家的能力均匀时，这是合适的。
21002,这是一种旨在通过一次镜头进行一次投篮的策略。 {{ - 当团队具有强大的单球能力时，它是合适的。 {
21003,这是您的策略。
22000,游戏的中心
22001,垃圾的中心
22002,主要顺序
23000,选择成为游戏中心的能力。 团队的统计数据将增加。 相反，其余的电源降低了。
23001,Jungler决定甘施的线。
23002,设定专注于操作的位置。 主要顺序将增加团队运营的比例。
24000,余额
24001,行
24002,团队战斗
24003,操作
24004,余额
24005,顶
24006,中间
24007,底部
24008,顶
24009,丛林
24010,中间
24011,ad 
24012,支持
25000,攻击
25001,平衡
25002,油轮
25003,攻击
25004,平衡
25005,油轮
25006,攻击
25007,平衡
25008,支持者
25009,攻击
25010,平衡
25011,实用程序
25012,攻击
25013,平衡
25014,油轮
26000,强烈按对手排队。 它还通过拆分来控制操作。 {{▲操作统计数据增加。 {{ - 点在线上获得或丢失。 {{▼Team Fight Stat Lowers。
26001,基本交易坦克。
26002,在线战中降低了影响。 但是}他在Team Fight上更加强大。 {{▲团队战斗能力提高。 {{ - 在生产线上获得或丢失的点被降低。 {{▼操作统计。
26003,垃圾变得强大。 但是，gank失败的风险很高。 {{▲线统计增加。 {{
26004,基本交易坦克。
26005,垃圾能力降低。 但是}击球能力增加。 {{▲击球能力增加。 {{▼阵容能力下降。
26006,强烈按对手排队。 它还通过拆分来控制操作。 {{▲操作统计数据增加。 {{ - 点在线上获得或丢失。 {{▼Team Fight Stat Lowers。
26007,基本的努克冠军
26008,目的是提高一个DIL的能力。 {{▲一个Dil的统计数据增加。
