ID,Name,Dec
1000.0,स्वर्ण भर्ती,81 से ऊपर एक संयुक्त स्टेट के साथ 1 यादृच्छिक खिलाड़ी की भर्ती करें।
1001.0,स्वर्ण पैकेज,81 से ऊपर एक संयुक्त स्टेट के साथ 5 यादृच्छिक खिलाड़ियों को भर्ती करें।
1002.0,खिलाड़ी भर्ती,1 यादृच्छिक खिलाड़ी की भर्ती करें।
1003.0,चांदी की भर्ती,76 से ऊपर एक संयुक्त स्टेट के साथ 1 यादृच्छिक खिलाड़ी की भर्ती करें।
1004.0,स्वर्ण भर्ती,81 से ऊपर एक संयुक्त स्टेट के साथ 1 यादृच्छिक खिलाड़ी की भर्ती करें।
1005.0,प्लैटिनम भर्ती,84 या उच्चतर के संयुक्त GPA के साथ 1 यादृच्छिक खिलाड़ी की भर्ती करें।
1006.0,बुनियादी पैकेज,5 यादृच्छिक खिलाड़ियों को भर्ती करें।
1007.0,चांदी का पैकेज,76 से ऊपर एक संयुक्त स्टेट के साथ 5 यादृच्छिक खिलाड़ियों को भर्ती करें।
1008.0,स्वर्ण पैकेज,81 से ऊपर एक संयुक्त स्टेट के साथ 5 यादृच्छिक खिलाड़ियों को भर्ती करें।
1009.0,प्लैटिनम पैकेज,84 या उच्चतर के संयुक्त GPA के साथ 5 यादृच्छिक खिलाड़ियों को भर्ती करें।
1010.0,2021season भर्ती,21SPR-21SUM सीज़न से 1 यादृच्छिक खिलाड़ी की भर्ती करें।
1011.0,2021season पैकेज, (सीमा सहित नहीं)
1012.0,2022season भर्ती,21SPR-21SUM सीज़न से 5 यादृच्छिक खिलाड़ी की भर्ती करें।
1013.0,2022season पैकेज, (सीमा सहित नहीं)
1014.0,2023Season भर्ती,22SPR-22SUM सीज़न से 1 यादृच्छिक खिलाड़ी की भर्ती करें।
1015.0,2023Season पैकेज, (सीमा सहित नहीं)
1016.0,पिछला सीज़न भर्ती,22SPR-22SUM सीज़न से 5 यादृच्छिक खिलाड़ी की भर्ती करें।
1017.0,पिछला सीज़न पैकेज, (सीमा सहित नहीं)
1018.0,कोच भर्ती,23SPR-23SUM सीज़न से 1 यादृच्छिक खिलाड़ी की भर्ती करें।
1019.0,टीम का नाम बदलें, (सीमा सहित नहीं)
