ID,Dec
10000,CIAO. Piacere di conoscerti.
10001,Con il supporto del manager} ha creato una nuova squadra nella LOL League. 
10002,Si prega di nominare prima il tuo team. 
10003,Facciamo il team AAA nella storia. 
10004,Questa è la prima partita della lega. 
10005,Qui puoi vedere le informazioni del nostro team e di altre squadre prima della partita. 
10006,La squadra attuale ha già un giocatore iscritto. 
10007,Ma hai bisogno di molti giocatori per vincere. 
10008,Prendiamo un nuovo giocatore prima della partita. 
10009,Tocca il mercato del reclutamento 
10010,Puoi reclutare nuovi giocatori con l'essenza che hai nel mercato del reclutamento. 
10011,Assumiamo un nuovo lettore con l'essenza che abbiamo ora. 
10012,Premere il pulsante Acquista Player. 
10013,Abbiamo un nuovo lettore. 
10014,La squadra non è ancora competitiva. Assumiamo un giocatore migliore per migliorare la nostra competitività. 
10015,Non c'è abbastanza essenza per reclutare un buon giocatore. In questo caso} è possibile ottenere un numero intero usando uno sponsor. 
10016,Visualizza gli annunci video di tutti gli sponsor} per guadagnare premi. 
10017,Inizialmente} annunci sponsorizzati è appositamente preparato a ricevere il 50% in più di premi. 
10018,Premere la pubblicità sponsorizzata. 
10019,Sponsor ci ha inviato un numero intero. Ora prendiamo un nuovo lettore con questo numero intero. 
10020,Si prega di premere il pulsante di acquisto. 
10021,Abbiamo un nuovo lettore. 
10022,Ora proviamo un nuovo lettore. 
10023,Premere il pulsante di gestione del lettore. 
10024,In The Player Management} è possibile selezionare un lettore candidato. 
10025,Premere il pulsante SWAP per provare il candidato. 
10026,Premere sostituirà il giocatore selezionato un giocatore iniziale e il giocatore esistente verrà nominato. 
10027,Anche} a seconda della composizione degli antipasti} è possibile ottenere effetti aggiuntivi. 
10028,Premi il bottone
10029,Puoi trovare informazioni su Tim Chemie qui. 
10030,Puoi rendere la tua squadra più forte abbinando diversi chimici come tipo e team. 
10031,Premere X su EXIT. 
10032,Ora cambiamo il giocatore che non è necessario per un altro giocatore. 
10033,Prova a premere la ricombinazione. 
10034,Qui puoi sostituire quattro candidati con nuovi giocatori. 
10035,Temporaneamente ho dato quattro giocatori. Ricombiniamo questi giocatori. 
10036,Premere il pulsante Aggiungi. 
10037,Premere il pulsante Aggiungi. 
10038,Premere il pulsante Aggiungi. 
10039,Premere il pulsante Aggiungi. 
10040,Metti tutti e tre i giocatori. Ora cambiamo in un nuovo lettore. 
10041,È possibile controllare le informazioni di abilità del giocatore dalle informazioni sul reclutamento. 
10042,Ora prendi il lettore. 
10043,Prova a premere la ricombinazione. 
10044,In questo modo puoi sostituire i giocatori esistenti con nuovi giocatori. 
10045,Ora giochiamo con questi giocatori. 
10046,Premere il pulsante Match 
10047,Premere il pulsante Progressi del gioco. 
10048,Il gioco è iniziato. 
10049,Fidiamo dei giocatori e guardiamo il gioco. 
10050,Come questo} quando il gioco è finito} puoi ottenere esperienza e numeri interi. 
10051,L'essenza non può essere ottenuta se il limite di corrispondenza giornaliera viene superato. 
10052,Premere il pulsante Continua per uscire dallo stadio. 
10053,Il primo gioco è finito. 
10054,I giocatori sono importanti per vincere} ma anche la strategia del manager è importante. 
10055,Premere il pulsante Strategia. 
10056,Configurazione rapida semplifica la configurazione delle strategie chiave. 
10057,Il saldo è ora la strategia di base. 
10058,Modifichiamo le impostazioni. 
10059,Fai clic su riga / gestisce. 
10060,Line Match / Operation è una strategia che termina il gioco gestendo i guadagni visti in linea. 
10061,Cambia la strategia in operazione di linea. 
10062,Premere il pulsante Impostazioni 
10063,La strategia del team è ora cambiata con la linea a corsa. 
10064,Questa configurazione rapida semplifica la modifica della strategia del tuo team. 
10065,Le impostazioni dettagliate possono essere impostate tramite le istruzioni e il pickvan. 
10066,Ora teschiamo la nostra strategia. 
10067,Premere il pulsante Match 
10068,Vediamo come utilizzare gli elementi di corrispondenza prima di procedere alla corrispondenza. 
10069,! Premi il bottone.
10070,Ho sentito un elemento di esperienza aggiuntivo al 10% come regalo. 
10071,Si prega di controllare l'uso. 
10072,"Se controlli l'uso, utilizzerai l'articolo corrispondente nelle partite future. "
10073,"Se ci sono più elementi, è possibile controllare automaticamente per utilizzare automaticamente gli elementi. "
10074,Gli elementi dello stesso tipo non possono essere usati ripetutamente. 
10075,Premere X su EXIT. 
10076,Ora controlliamo le strategie e gli elementi. 
10077,Premere il pulsante Progressi del gioco 
10078,"Dopo questa partita, il livello del manager è aumentato. "
10079,"All'aumentare del livello del manager, ottieni un'essenza extra come questa. "
10080,Puoi ottenere essenze extra dal livello di manager indipendentemente dal limite di corrispondenza giornaliera. 
10081,Premere il pulsante Continua per uscire dallo stadio. 
10082,Alcuni giocatori sono stati livellati acquisendo esperienza in questa partita. 
10083,I giocatori che di livello possono aumentare le loro statistiche. 
10084,Premere il lettore di gestione. 
10085,Gli atleti che hanno livellato hanno un segno di freccia sul livello. 
10086,Tocca il livello del lettore per sollevare le statistiche. 
10087,Qui puoi aumentare le statistiche desiderate per punti. 
10088,È possibile aumentare la statistica toccando la freccia dello stat desiderato. 
10089,Tocca le statistiche desiderate e tocca decisione. 
10090,Ciò aumenterà l'abilità del giocatore. 
10091,Premere X su EXIT. 
10092,Gli atleti possono essere resi più forti livellando e rafforzando in questo modo. 
10093,Reniamo il giocatore più forte per rinforzo. 
10094,Premere il pulsante di rinforzo. 
10095,Il rinforzo rende il giocatore più forte attraverso lo stesso lettore. 
10096,Questa volta} Reinfoco il lettore che ti ho dato. 
10097,Prova a premere il pulsante ▼. 
10098,Premere il pulsante per piegare l'elenco di partenza. Premere il pulsante per visualizzare un elenco più ampio dei subisti. 
10099,Ora prova ad aggiungere un lettore. 
10100,Premere il pulsante Aggiungi. 
10101,Se viene aggiunto un lettore} solo lo stesso giocatore è visibile. 
10102,Premere il pulsante Aggiungi. 
10103,Come vengono aggiunti i giocatori di roba} puoi vedere la possibilità di successo. 
10104,La probabilità di successo è determinata dalla differenza tra il livello di rinforzo e il livello di rinforzo. 
10105,Premere il pulsante ReinfrEce. 
10106,Se hai reinfricato così il lettore roba scompare. 
10107,In caso contrario non fa scomparire il giocatore principale o perdere la classe. 
10108,Ora controlliamo l'ultima volta le informazioni sulla lega. 
10109,Premere il pulsante League. 
10110,Premere il pulsante Schema. 
10111,Puoi controllare il programma del campionato per la tua squadra qui. 
10112,Premere il pulsante di rango. 
10113,Qui puoi vedere la classifica della lega. 
10114,Premere il pulsante del torneo 
10115,Qui puoi controllare i playoff dopo che la lega normale è finita. 
10116,W è la classifica per l'avanzamento al campionato del mondo. 
10117,Il campionato del mondo si tiene alla fine della normale lega. 
10118,Puoi competere contro le migliori squadre in altri campionati e ottenere ricompense più alte. 
10119,Premere il pulsante SET. 
10120,Dove vuoi la lega 
10121,È possibile impostare il livello di difficoltà e avviare una nuova lega. 
10122,"Selezionando una lega e difficoltà, puoi vedere i premi modificati e la capacità della squadra della lega. "
10123,Scegli la tua lega e il livello di difficoltà e premi il pulsante di avvio nuovo campionato. 
10124,Puoi avviare una nuova lega come questa. 
10125,Ora tutto è pronto. 
10126,Finalmente il manager ci ha inviato l'essenza. 
10127,Facciamo il vincitore della lega AAA! 
10128,CIAO. Benvenuti nel gioco Multi Match. 
10129,Qui puoi giocare la partita altri allenatori. 
