ID,Dec
1000000,Одолейте все команды KR League в 18‑м сезоне.
1000001,Победите все команды KR League в 19‑м весеннем сезоне.
1000002,Победите все команды KR League в 19‑м летнем сезоне.
1000003,Разбейте все команды топ‑10 сезона Multi Match 19.
1000004,Победите все команды KR League в 20‑м весеннем сезоне.
1000005,Разбейте все команды EU League в 20‑м весеннем сезоне.
1000006,Победите все команды NA League в 20‑м весеннем сезоне.
1000007,Одолейте все команды KR League в летнем сезоне 2020 года.
1000008,Победите все команды EU League в 20‑м летнем сезоне.
1000009,Победите все команды NA League в 20‑м летнем сезоне.
1000010,Одолейте все команды топ‑10 сезона Multi Match 20.
1000011,Разгромите все команды KR League в весеннем сезоне 2021 года.
1000012,Одолейте все команды EU League в весеннем сезоне 2021 года.
1000013,Разбейте все команды NA LCS в весеннем сезоне 2021 года.
1000014,Победите все команды топ‑10 сезона Multi Match 21‑1.
1000015,Победите все команды Топ‑10 сезона Multi Match 21‑2.
1000016,Победите все команды CN League в весеннем сезоне 2021.
1000017,Одолейте все команды KR League в летнем сезоне 2021.
1000018,Одолейте все команды EU League в летнем сезоне 2021 года.
1000019,Покори все команды NA League в летнем сезоне 2021 года.
1000020,Победите все команды CN League в летнем сезоне 2021 года.
1000021,Победите все команды топ‑10 сезона Multi Match 21‑3.
1000022,Победите все команды топ‑10 сезона Multi Match 22‑1.
1000023,Разбейте все команды KR League в весеннем сезоне 2022 года.
1000024,Победите все команды EU League в весеннем сезоне 2022 года.
1000025,Победите все команды NA League в весеннем сезоне 2022 года.
1000026,Одолейте все команды Топ‑10 сезона Multi Match 22‑2.
1000027,Одолейте все команды топ‑10 сезона Multi Match 22‑3.
1000028,Победите все команды топ‑10 сезона Multi Match 22‑4.
1000029,Победите все команды KR League в летнем сезоне 2022 года.
1000030,Победите все команды EU League в летнем сезоне 2022 года.
1000031,Одолейте все команды NA League в летнем сезоне 2022 года.
1000032,Победите все команды топ‑10 сезона Multi Match 23‑1.
1000033,Победите все команды Топ‑10 сезона Multi Match 23‑2.
1000034,Одолейте все команды KR League в весеннем сезоне 2023 года.
1000035,Победите все команды EU League в весеннем сезоне 2023 года.
1000036,Одолейте все команды NA League в весеннем сезоне 2023 года.
1000037,Победите все команды топ‑10 сезона Multi Match 23‑3.
1000038,Победите все команды KR League в летнем сезоне 2023.
1000039,Победите все команды EU League в летнем сезоне 23.
1000040,Одолейте все команды NA League в летнем сезоне 2023 года.
1000041,Победите все команды топ‑10 сезона Multi Match 23‑4.
1000042,Победите все команды топ‑10 сезона Multi Match 24‑1.
1000043,Победите все команды Top 10 сезона Multi Match 24‑2.
1000044,Одолейте все команды KR League в весеннем сезоне 2024 года.
1000045,Победите все команды EU League в весеннем сезоне 2024.
1000046,Одолейте все команды NA League в спринт‑сплите 2024 года.
1000047,Победите все команды топ‑10 сезона Multi Match 24‑3.
1000048,Победите все команды KR League в летнем сплите 2024 года.
1000049,Победите все команды EU League в летнем сезоне 2024 года.
1000050,Победите все команды NA League в летнем сезоне 2024 года.
1000051,Победи все команды топ‑10 сезона Multi Match 24‑4.
1000052,Победите все команды топ‑10 сезона Multi Match 25‑1.
1000053,Одолейте все команды Top 10 сезона Multi Match 25‑2.
1000054,Победите все команды KR League в 25‑м весеннем сезоне.
1000055,Одолейте все команды EU League в 25‑м весеннем сезоне.
1000056,Победите все команды NA League в 25‑м весеннем сезоне.
1000057,Одолейте все команды топ‑10 сезона Multi Match 25‑3.
1000058,Одолейте все команды KR League в 25‑м летнем сезоне.
1000059,Сокрушите все команды EU League в 25‑м летнем сезоне.
1000060,Победите все команды NA League в 25‑м летнем сезоне.
1000061,Победите все команды топ‑10 сезона 25‑4 в мультиматчах.
