teamID,Dec
1000000.0,Besiege alle Teams der KR-Liga-Teams in der 18 Saison.
1000001.0,Besiege alle KR-Liga-Teams in der 19 Frühlingszeit.
1000002.0,Besiege alle KR-Liga-Teams in der 19-Sommersaison.
1000003.0,Besiege alle Multi Match 19 Saison Top10-Teams.
1000004.0,Besiege alle Teams der KR-League in der 20 Frühlingszeit.
1000005.0,Besiege alle Teams der EU-Liga-Teams in der 20 Frühjahrszeit.
1000006.0,Besiege alle NA-Liga-Teams in der 20 Frühlingssaison.
1000007.0,Besiege alle KR-Liga-Teams in der 20-Sommersaison.
1000008.0,Besiege alle Teams der EU-Liga-Teams in der 20-Sommersaison.
1000009.0,Besiege alle Teams der NA-League in der 20-Sommersaison.
1000010.0,Besiege alle Multi-Match 20-Saison Top10-Teams.
1000011.0,Besiege alle Teams der Kr-League in der 21 Frühlingszeit.
1000012.0,Besiege alle EU-Liga-Teams in der 21 Frühlingszeit.
1000013.0,Besiege alle Teams der NA-Liga in der 21 Frühlingssaison.
1000014.0,Besiege alle Multi-Match 21-1 Saison Top10-Teams.
1000015.0,Besiege alle Multi-Match 21-2 Saison Top10-Teams.
1000016.0,Besiege alle CN-Liga-Teams in der 21 Frühlingssaison.
1000017.0,Besiege alle Teams der Kr-League in der 21 Sommersaison.
1000018.0,Besiege alle EU-Liga-Teams in der 21 Sommersaison.
1000019.0,Besiege alle Teams der NA-Liga in der 21 Sommersaison.
1000020.0,Besiege alle CN-Liga-Teams in der 21 Sommersaison.
1000021.0,Besiege alle Multi-Match 21-3 Saison Top10-Teams.
1000022.0,Besiege alle Multi-Match-22: 1-Saison-Top10-Teams.
1000023.0,Besiege alle NA -League -Teams in der 22. Frühjahrssaison.
1000024.0,Besiege alle NA -League -Teams in der 22. Frühjahrssaison.
1000025.0,Besiege alle NA -League -Teams in der 22. Frühjahrssaison.
1000026.0,Besiege alle Multi-Match-22-2-Saison-Top10-Teams.
1000027.0,
1000028.0,Победить все команды Multi Match 22-4 сезона Top10.
1000029.0,Победить все команды лиги КР в 22 летнего сезона.
1000030.0,Победить все команды Лиги ЕС в 22 летнего сезона.
1000031.0,Победить все команды NA League в 22 летнего сезона.
1000032.0,Besiege alle Multi-Match-23: 1-Saison-Top10-Teams.
1000033.0,Besiege alle Multi-Match-23-2-Saison-Top10-Teams.
1000034.0,Besiege alle KR -League -Teams in der 23er Frühlingszeit.
1000035.0,Besiege alle EU -League -Teams in der 23. Frühjahrssaison.
1000036.0,Besiege alle Na -League -Teams in der 23. Frühjahrssaison.
1000037.0,Besiege alle Multi-Match-23-3-Saison-Top10-Teams.
