ID,Dec
10000,أهلاً.  سعيد بلقائك.
10001,بدعم من المدير} قام بإنشاء فريق جديد في LOL League.
10002,يرجى تسمية فريقك أولاً.
10003,دعنا نجعل فريق AAA في التاريخ.
10004,هذه هي المباراة الأولى للدوري.
10005,هنا يمكنك رؤية معلومات فريقنا والفرق الأخرى قبل المباراة.
10006,الفريق الحالي لديه بالفعل لاعب اشترك.
10007,لكنك تحتاج إلى الكثير من اللاعبين للفوز.
10008,دعنا نحصل على لاعب جديد أولاً قبل المباراة.
10009,اضغط على سوق التوظيف
10010,يمكنك تجنيد لاعبين جدد مع الجوهر الذي لديك في سوق التوظيف.
10011,دعنا نستأجر لاعبًا جديدًا مع الجوهر الذي لدينا الآن.
10012,اضغط على زر التوظيف X1.
10013,لدينا لاعب جديد.
10014,الفريق لا يزال غير قادر على المنافسة.  دعنا نستأجر لاعبًا أفضل لتحسين قدرتنا التنافسية.
10015,لا يوجد جوهر كاف لتجنيد لاعب جيد.  في هذه الحالة} يمكنك الحصول على رقم كامل باستخدام راعي.
10016,عرض جميع إعلانات الفيديو الخاصة بالرعاة} لكسب المكافآت.
10017,في البداية} ، تم إعداد الإعلانات التي ترعاها خصيصًا لتلقي مكافآت مزيد من المكافآت بنسبة 50 ٪.
10018,الصحافة الإعلانات برعاية.
10019,أرسلنا الراعي عددًا صحيحًا.  الآن دعنا نحصل على لاعب جديد مع هذا عدد صحيح.
10020,اضغط على زر التوظيف X5.
10021,لدينا لاعب جديد.
10022,الآن لنجرب لاعبًا جديدًا.
10023,اضغط على زر إدارة اللاعب.
10024,في إدارة اللاعب} يمكنك اختيار لاعب مرشح.
10025,اضغط على زر المبادلة لتجربة المرشح.
10026,سيجعل الضغط على Reply لاعبًا محددًا لاعبًا مبتدئًا وسيتم ترشيح اللاعب الحالي.
10027,أيضا} اعتمادًا على تكوين المبتدئين} يمكن الحصول على تأثيرات إضافية.
10028,اضغط على الزر
10029,يمكنك العثور على معلومات حول Tim Chemie هنا.
10030,يمكنك جعل فريقك أقوى من خلال مطابقة كيمياء مختلفة مثل النوع والفريق.
10031,اضغط على X للخروج.
10032,الآن دعونا نغير اللاعب الذي ليس ضروريًا إلى لاعب آخر.
10033,حاول الضغط على إعادة التركيب.
10034,هنا يمكنك استبدال أربعة مرشحين بلاعبين جدد.
10035,مؤقتًا أعطيت أربعة لاعبين.  دعنا نعيد تجميع هؤلاء اللاعبين.
10036,اضغط على زر إضافة.
10037,اضغط على زر إضافة.
10038,اضغط على زر إضافة.
10039,اضغط على زر إضافة.
10040,ضع اللاعبين الثلاثة.  الآن دعونا نتغير إلى لاعب جديد.
10041,يمكنك التحقق من معلومات قدرة اللاعب من معلومات التوظيف.
10042,احصل الآن على اللاعب.
10043,حاول الضغط على إعادة التركيب.
10044,بهذه الطريقة يمكنك استبدال اللاعبين الحاليين بلاعبين جدد.
10045,الآن دعونا نلعب مع هؤلاء اللاعبين.
10046,اضغط على زر المطابقة
10047,اضغط على زر تقدم اللعبة.
10048,بدأت اللعبة.
10049,دعنا نثق في اللاعبين ونشاهد اللعبة.
10050,مثل هذا} عندما تنتهي اللعبة} ، يمكنك الحصول على الخبرة والأعداد الصحيحة.
10051,لا يمكن الحصول على جوهر إذا تم تجاوز حد المطابقة اليومية.
10052,اضغط على زر متابعة للخروج من الملعب.
10053,انتهت اللعبة الأولى.
10054,اللاعبون مهمون للفوز} ولكن استراتيجية المدير مهمة أيضًا.
10055,اضغط على زر الإستراتيجية.
10056,يجعل الإعداد السريع من السهل إعداد استراتيجيات رئيسية.
10057,التوازن هو الآن الاستراتيجية الأساسية.
10058,دعونا نغير الإعدادات.
10059,انقر فوق السطر / إدارة.
10060,خطوط / عملية الخط هي استراتيجية تنهي اللعبة من خلال تشغيل المكاسب التي شوهدت في خط المباراة.
10061,دعونا نغير الاستراتيجية إلى تشغيل خط الخط.
10062,اضغط على زر الإعدادات
10063,لقد تغيرت استراتيجية الفريق الآن مع خط إلى ركض.
10064,هذا الإعداد السريع يجعل من السهل تغيير استراتيجية فريقك.
10065,يمكن تعيين إعدادات مفصلة عبر التعليمات و Pickvan.
10066,الآن دعنا نختبر استراتيجيتنا.
10067,اضغط على زر المطابقة
10068,دعنا نرى كيفية استخدام عناصر المطابقة قبل المتابعة إلى المباراة.
10069,!  اضغط على الزر.
10070,سمعت عنصر خبرة إضافية بنسبة 10 ٪ كهدية.
10071,يرجى التحقق من الاستخدام.
10072,إذا قمت بالتحقق من الاستخدام ، فستستخدم العنصر المقابل في المباريات المستقبلية.
10073,إذا كانت هناك عناصر متعددة ، فيمكنك التحقق من Auto لاستخدام العناصر تلقائيًا.
10074,لا يمكن استخدام عناصر من نفس النوع مرارًا وتكرارًا.
10075,اضغط على X للخروج.
10076,الآن دعنا نتحقق من الاستراتيجيات والبنود.
10077,اضغط على زر تقدم اللعبة
10078,بعد هذه المباراة ، ارتفع مستوى المدير.
10079,مع زيادة مستوى المدير ، تحصل على جوهر إضافي مثل هذا.
10080,يمكنك الحصول على جروح إضافية من مستوى المدير بغض النظر عن حد المباراة اليومية.
10081,اضغط على زر متابعة للخروج من الملعب.
10082,تم تسوية بعض اللاعبين من خلال اكتساب الخبرة في هذه المباراة.
10083,يمكن للاعبين الذين يصلون إلى رفع مستوى الإحصائيات.
10084,الصحافة إدارة اللاعب.
10085,الرياضيون الذين تعرضوا لعلامة سهم على المستوى.
10086,اضغط على مستوى اللاعب لرفع الإحصائيات.
10087,هنا يمكنك زيادة إحصائياتك المطلوبة حسب النقاط.
10088,يمكنك زيادة الإحصائيات عن طريق الاستفادة من سهم الإحصائيات المطلوبة.
10089,اضغط على إحصائياتك المطلوبة واضغط على القرار.
10090,هذا سيزيد من قدرة اللاعب.
10091,اضغط على X للخروج.
10092,يمكن أن يكون الرياضيون أقوى من خلال التسوية والتعزيز مثل هذا.
10093,لنجعل اللاعب أقوى من خلال تعزيز.
10094,اضغط على زر تعزيز.
10095,التعزيز يجعل اللاعب أقوى من خلال نفس اللاعب.
10096,هذه المرة} دعنا نعيد تنفيذ اللاعب الذي أعطيته لك.
10097,حاول الضغط على الزر ▼.
10098,اضغط على الزر لوضع طي قائمة المبتدئين.  اضغط على الزر لرؤية قائمة أكبر من اللاعبين الفرعيين.
10099,حاول الآن إضافة لاعب.
10100,اضغط على زر إضافة.
10101,إذا تمت إضافة لاعب} فقط يكون نفس اللاعب مرئيًا.
10102,اضغط على زر إضافة.
10103,مع إضافة الأشياء للاعبين} يمكنك رؤية فرصة النجاح.
10104,يتم تحديد احتمال النجاح من خلال الفرق بين مستوى التعزيز ومستوى التعزيز.
10105,اضغط على زر Reinfroce.
10106,إذا قمت بإعادة تشكيل مثل هذا} يختفي لاعب الأشياء.
10107,عدم القيام بذلك لا يجعل اللاعب الرئيسي يختفي أو يفقد الفصل.
10108,الآن دعنا نتحقق من معلومات الدوري.
10109,اضغط على زر الدوري.
10110,اضغط على زر الجدول.
10111,يمكنك التحقق من جدول الدوري لفريقك هنا.
10112,اضغط على زر الترتيب.
10113,هنا يمكنك رؤية ترتيب الدوري.
10114,اضغط على زر البطولة
10115,هنا يمكنك التحقق من التصفيات بعد انتهاء الدوري العادي.
10116,W هو الترتيب للتقدم إلى بطولة العالم.
10117,تقام بطولة العالم في نهاية الدوري العادي.
10118,يمكنك التنافس ضد الفرق الكبرى في بطولات الدوري الأخرى والحصول على مكافآت أعلى.
10119,اضغط على زر SET.
10120,أين تريد الدوري
10121,يمكنك ضبط مستوى الصعوبة وبدء دوري جديد.
10122,من خلال اختيار الدوري والصعوبة ، يمكنك رؤية المكافآت المتغيرة وقدرة فريق الدوري.
10123,اختر مستوى الدوري والصعوبة الخاص بك واضغط على زر بدء الدوري الجديد.
10124,يمكنك بدء دوري جديد مثل هذا.
10125,الآن كل شيء جاهز.
10126,وأخيرا} أرسلنا المدير الجوهر.
10127,لنجعل الفائز في دوري AAA!
10128,أهلاً.  مرحبًا بك في لعبة Multi Match.
10129,هنا يمكنك لعب المباراة المدربين الآخرين.
10130,هنا يمكنك رؤية تصنيفات فريقك} النقاط ومطابقة البيانات.
10131,اضغط على زر معلومات المكافأة.
10132,هنا يمكنك العثور على معلومات حول مكافآت المباراة المتعددة.
10133,على جدول الطبقة} هناك ستة مستويات من البرونز} Silver} Gold} Platinum} Diamond} Master} Celinger.
10134,في المرة الأولى التي تبدأ فيها} تبدأ بطائرة برونزية.
10135,رفع الطبقة الخاصة بك سوف يعطيك الجوهر أعلاه.
10136,ويمكنك كسب جوهر المكافأة في نهاية المباراة من خلال النسبة المئوية الموضحة أدناه.
10137,سأشرح الموسم.
10138,يعيد الموسم إعادة ضبط الطبقة ويبدأ لعبة جديدة بعد فترة محددة.
10139,عندما يبدأ موسم جديد ، تكافأ وفقًا لرتبة الموسم الماضي.
10140,يمكن العثور على المكافآت عن الطبقة الخاصة بك هنا.
10141,الآن اضغط على X للخروج من معلومات المكافأة.
10142,إلى Tier Up} عليك الفوز بالمباراة وجمع النقاط.
10143,جمع 100 نقطة للتقدم إلى الطبقة التالية.
10144,لكن كن حذرًا لأنه يمكن تخفيض رتبتك على خسارة مستمرة عند الصفر.
10145,إذا قمت برفع المستوى الأعلى من خلال الفوز} ، فيمكنك التحقق من تصنيف فريقك من خلال الترتيب أدناه.
10146,ويمكنك رؤية فريق المرتبة بالتفصيل.
10147,اضغط على الزر.
10148,يمكنك الآن رؤية اللاعبين والاستراتيجيات المستخدمة من قبل المرتبة.  تحقق من ذلك وتنمو فريقك أقوى.
10149,الآن دعنا نضغط على الزر مرة أخرى.
10150,الترتيب يستغرق بعض الوقت لتحديث.
10151,إذا كنت ترغب في التحديث على الفور} يمكنك تحديث الترتيب فورًا عبر زر التحديث.
10152,جيد.  جاهز رفع رتبتك وجمع النقاط لتصبح المدير الأول!
10153,في حسابك} يمكنك الاطلاع على معلومات حسابك والإنجازات اليومية}} معلومات أخرى.
10154,في اليومية} يتم تحديث المهام كل يوم.
10155,في الإنجازات} يمكنك رؤية الإنجازات
10156,في الموسم} يمكنك رؤية المهام الجديدة التي يتم تحديثها كل موسم.
10157,في أخرى} يمكنك رؤية أجزاء أخرى مثل دعم المطور.
10158,يمكنك كسب المكافآت من خلال استكمال إنجازات البحث أو أجزاء أخرى.
10159,بالإضافة إلى ذلك ، ستساعدنا الرعاية في مواصلة تطوير اللعبة في المستقبل.
10160,شكرا لك على رعايتك.  شكرًا لك.
