teamID,Dec
1000000,
1000001,Defeat all the KR League teams in the 19 spring season.
1000002,Defeat all the KR League teams in the 19 summer season.
1000003,Defeat all Multi Match 19 Season Top10 teams.
1000004,Defeat all the KR League teams in the 20 spring season.
1000005,Defeat all the EU League teams in the 20 spring season.
1000006,Defeat all the NA League teams in the 20 spring season.
1000007,Defeat all the KR League teams in the 20 summer season.
1000008,Defeat all the EU League teams in the 20 summer season.
1000009,Defeat all the NA League teams in the 20 summer season.
1000010,Defeat all Multi Match 20 Season Top10 teams.
1000011,Defeat all the KR League teams in the 20 spring season.
1000012,Defeat all the EU League teams in the 20 spring season.
1000013,Defeat all the NA League teams in the 20 spring season.
1000014,Defeat all Multi Match 21-1 Season Top10 teams.
1000015,Defeat all Multi Match 21-2 Season Top10 teams.
