teamID,Dec
1000000,Kalahkan semua tim Liga KR di 18 musim.
1000001,Kalahkan semua tim Liga KR di musim semi 19.
1000002,Kalahkan semua tim Liga KR di musim panas 19.
1000003,Kalahkan semua tim Top10 Multi Match 19 musim.
1000004,Kalahkan semua tim Liga KR di 20 musim semi.
1000005,Kalahkan semua tim Liga UE di musim semi 20.
1000006,Kalahkan semua tim Liga Na di 20 musim semi.
1000007,Kalahkan semua tim Liga KR di 20 musim musim panas.
1000008,Kalahkan semua tim Liga UE di 20 musim panas.
1000009,Kalahkan semua tim Liga Na di 20 musim musim panas.
1000010,Kalahkan semua tim Top10 musim Multi Match 20.
1000011,Kalahkan semua tim Liga KR di 20 musim semi.
1000012,Kalahkan semua tim Liga UE di musim semi 20.
1000013,Kalahkan semua tim Liga Na di 20 musim semi.
1000014,Kalahkan semua tim Top10 Multi Match 21-1 musim.
1000015,Kalahkan semua tim Top10 Multi Match 21-2.
