ID,Name,Dec
1000,Rekrutmen Emas.,Rekrut 1 pemain acak dengan stat gabungan di atas 81.
1001,Paket Emas,Rekrut 5 pemain acak dengan stat gabungan di atas 81.
1002,Rekrutmen Pemain,Merekrut 1 pemain acak.
1003,Perekrutan Perak,Rekrut 1 pemain acak dengan stat gabungan di atas 76.
1004,Rekrutmen Emas.,Rekrut 1 pemain acak dengan stat gabungan di atas 81.
1005,Rekrutmen Platinum,Rekrut 1 pemain acak dengan IPK gabungan 84 atau lebih tinggi.
1006,Paket dasar,Merekrut 5 pemain acak.
1007,Paket perak,Rekrut 5 pemain acak dengan stat gabungan di atas 76.
1008,Paket Emas,Rekrut 5 pemain acak dengan stat gabungan di atas 81.
1009,Paket Platinum,Rekrut 5 pemain acak dengan IPK gabungan 84 atau lebih tinggi.
1010,2021eason Recruitment.,Rekrut 1 pemain acak dari musim 20spr-20sum.
1011,Paket 2021eason, (Tidak termasuk batasan)
1012,Rekrutmen musim sebelumnya,Rekrut 5 pemain acak dari musim 20spr-20sum.
1013,Paket musim sebelumnya, (Tidak termasuk batasan)
1014,Rekrutmen Pelatih.,Satu pemain acak dari musim 18-20sum direkrut.
1015,Ubah nama tim, (Tidak termasuk batasan)
