ID,Dec
1000000,Kalahkan semua tim Liga KR di musim 18.
1000001,Kalahkan semua tim Liga KR di musim semi 19.
1000002,Kalahkan semua tim Liga KR di 19 musim panas.
1000003,Kalahkan semua tim Top10 musim multi pertandingan.
1000004,Kalahkan semua tim Liga KR di musim semi 20.
1000005,Kalahkan semua tim Liga Uni Eropa di musim semi 20.
1000006,Kalahkan semua tim Liga NA di musim semi 20.
1000007,Kalahkan semua tim Liga KR di musim panas 20.
1000008,Kalahkan semua tim liga UE di 20 musim panas.
1000009,Kalahkan semua tim Liga NA di 20 musim panas.
1000010,Kalahkan semua tim Top10 musim multi pertandingan.
1000011,Kalahkan semua tim Liga KR di musim semi 21.
1000012,Kalahkan semua tim Liga UE di 21 musim semi.
1000013,Kalahkan semua tim Liga NA di 21 musim semi.
1000014,Kalahkan semua tim Top10 musim 21-1 musim.
1000015,Kalahkan semua tim Top10 musim 21-2 musim.
1000016,Kalahkan semua tim Liga CN di 21 musim semi.
1000017,Kalahkan semua tim Liga KR di 21 musim panas.
1000018,Kalahkan semua tim Liga UE di 21 musim panas.
1000019,Kalahkan semua tim Liga NA di 21 musim panas.
1000020,Kalahkan semua tim Liga CN di 21 musim panas.
1000021,Kalahkan semua tim Top10 musim multi pertandingan.
1000022,Kalahkan semua tim Top10 musim 22-1 pertandingan.
1000023,Kalahkan semua tim Liga KR di musim semi 22.
1000024,Kalahkan semua tim Liga Uni Eropa di musim semi 22.
1000025,Kalahkan semua tim Liga NA di musim semi 22.
1000026,Kalahkan semua tim Top10 musim 22-2 musim.
1000027,Kalahkan semua tim Top10 musim 22-3 musim.
1000028,Kalahkan semua tim Top10 musim 22-4 musim.
1000029,Kalahkan semua tim Liga KR di 22 musim panas.
1000030,Kalahkan semua tim Liga UE di musim panas 22.
1000031,Kalahkan semua tim Liga NA di musim panas 22.
1000032,Kalahkan semua tim Top10 musim 23-1 musim.
1000033,Kalahkan semua tim Top10 musim 23-2 pertandingan.
1000034,Kalahkan semua tim Liga KR di musim semi 23.
1000035,Kalahkan semua tim Liga Uni Eropa di musim semi 23.
1000036,Kalahkan semua tim Liga NA di musim semi 23.
1000037,Kalahkan semua tim Top10 musim 23-3 musim.
1000038,Kalahkan semua tim Liga KR di musim panas 23.
1000039,Kalahkan semua tim liga UE di musim panas 23.
1000040,Kalahkan semua tim Liga NA di musim panas 23.
1000041,Kalahkan semua tim Top10 musim 23-4 musim.
1000042,Kalahkan semua tim Top10 musim 24-1 musim.
1000043,Kalahkan semua tim Top10 musim 24-2 musim.
1000044,Kalahkan semua tim Liga KR di musim semi 24.
1000045,Kalahkan semua tim liga UE di musim semi 24.
1000046,Kalahkan semua tim Liga NA di musim semi 24.
