ID,Dec
10000,ওহে. তোমার সাথে দেখা করে ভালো লাগলো.
10001,ম্যানেজারের সমর্থন নিয়ে} তিনি এলওএল লিগে একটি নতুন দল তৈরি করেছেন {
10002,দয়া করে প্রথমে আপনার দলের নাম দিন {
10003,ইতিহাসে এএএ দল তৈরি করুন {
10004,এটি লিগের প্রথম ম্যাচ {
10005,এখানে আপনি ম্যাচের আগে আমাদের দল এবং অন্যান্য দলের তথ্য দেখতে পারেন {
10006,বর্তমান দলে ইতিমধ্যে একটি প্লেয়ার সাইন আপ রয়েছে {
10007,তবে জয়ের জন্য আপনার প্রচুর খেলোয়াড় দরকার {
10008,ম্যাচের আগে প্রথমে একটি নতুন প্লেয়ার পাওয়া যাক {
10009,নিয়োগের বাজারটি আলতো চাপুন 
10010,আপনি নিয়োগের বাজারে থাকা সারমর্মের সাথে নতুন খেলোয়াড় নিয়োগ করতে পারেন 
10011,আসুন আমরা এখন আমাদের যে সারমর্ম রয়েছে তার সাথে একটি নতুন প্লেয়ার ভাড়া করি 
10012,প্লেয়ারগুলি কিনুন বোতাম টিপুন {
10013,আমাদের একটি নতুন প্লেয়ার রয়েছে {
10014,দলটি এখনও প্রতিযোগিতামূলক নয়। আসুন আমাদের প্রতিযোগিতার উন্নতি করতে আরও ভাল খেলোয়াড় নিয়োগ করি {
10015,একজন ভাল খেলোয়াড় নিয়োগের জন্য পর্যাপ্ত পরিমাণ নেই। এই ক্ষেত্রে} আপনি একটি স্পনসর ব্যবহার করে একটি সম্পূর্ণ নম্বর পেতে পারেন {
10016,পুরষ্কার অর্জনের জন্য সমস্ত স্পনসরদের ভিডিও বিজ্ঞাপনগুলি দেখুন 
10017,প্রাথমিকভাবে} স্পনসরড বিজ্ঞাপনগুলি 50% আরও পুরষ্কার পাওয়ার জন্য বিশেষভাবে প্রস্তুত {
10018,স্পনসরড বিজ্ঞাপন টিপুন 
10019,স্পনসর আমাদের একটি পূর্ণসংখ্যা প্রেরণ। এখন আসুন এই পূর্ণসংখ্যার সাথে একটি নতুন প্লেয়ার পান {
10020,দয়া করে ক্রয় বোতাম টিপুন {
10021,আমাদের একটি নতুন প্লেয়ার রয়েছে {
10022,এখন আসুন একটি নতুন প্লেয়ার চেষ্টা করা যাক 
10023,প্লেয়ার ম্যানেজমেন্ট বোতাম টিপুন {
10024,প্লেয়ার ম্যানেজমেন্টে} আপনি একজন প্রার্থী প্লেয়ার নির্বাচন করতে পারেন {
10025,প্রার্থী চেষ্টা করতে অদলবদল টিপুন {
10026,প্রতিস্থাপন প্রতিস্থাপন নির্বাচিত খেলোয়াড়কে একটি প্রারম্ভিক খেলোয়াড় হিসাবে তৈরি করবে এবং বিদ্যমান খেলোয়াড়কে মনোনীত করা হবে {
10027,এছাড়াও the প্রারম্ভিকদের রচনার উপর নির্ভর করে} অতিরিক্ত প্রভাবগুলি পাওয়া যায় {
10028,বাটনটি চাপুন
10029,আপনি এখানে টিম কেমি সম্পর্কে তথ্য পেতে পারেন {
10030,টাইপ এবং টিমের মতো বিভিন্ন কেমিস্ট্রিগুলির সাথে মিল রেখে আপনি আপনার দলকে আরও শক্তিশালী করতে পারেন 
10031,প্রস্থান করতে এক্স টিপুন {
10032,এখন আসুন এমন খেলোয়াড়কে পরিবর্তন করুন যাকে অন্য খেলোয়াড়ের প্রয়োজন নেই {
10033,পুনঃসংযোগ টিপানোর চেষ্টা করুন {
10034,এখানে আপনি নতুন খেলোয়াড়দের সাথে চার প্রার্থী প্রতিস্থাপন করতে পারেন {
10035,অস্থায়ীভাবে আমি চারজন খেলোয়াড় দিয়েছি। আসুন এই খেলোয়াড়দের পুনঃসংযোগ করি {
10036,অ্যাড বোতাম টিপুন {
10037,অ্যাড বোতাম টিপুন {
10038,অ্যাড বোতাম টিপুন {
10039,অ্যাড বোতাম টিপুন {
10040,তিনটি খেলোয়াড় রাখুন। এখন আসুন একটি নতুন প্লেয়ারে পরিবর্তন করা যাক {
10041,আপনি নিয়োগের তথ্য থেকে প্লেয়ারের দক্ষতার তথ্য পরীক্ষা করতে পারেন 
10042,এখন প্লেয়ারটি পান {
10043,পুনঃসংযোগ টিপানোর চেষ্টা করুন {
10044,এইভাবে আপনি নতুন খেলোয়াড়দের সাথে বিদ্যমান খেলোয়াড়দের প্রতিস্থাপন করতে পারেন 
10045,এখন আসুন এই খেলোয়াড়দের সাথে খেলি {
10046,ম্যাচ বোতাম টিপুন 
10047,গেমের অগ্রগতি বোতাম টিপুন {
10048,গেমটি শুরু হয়েছে {
10049,আসুন খেলোয়াড়দের বিশ্বাস করি এবং গেমটি দেখুন {
10050,এটির মতো} যখন গেমটি শেষ হয়ে যায়} আপনি অভিজ্ঞতা এবং পূর্ণসংখ্যা পেতে পারেন 
10051,দৈনিক ম্যাচের সীমাটি অতিক্রম করলে সারমর্ম পাওয়া যায় না {
10052,স্টেডিয়ামটি প্রস্থান করতে চালিয়ে যাওয়া বোতামটি টিপুন {
10053,প্রথম খেলাটি শেষ {
10054,খেলোয়াড়রা জয়ের জন্য গুরুত্বপূর্ণ} তবে ম্যানেজার কৌশলটিও গুরুত্বপূর্ণ 
10055,কৌশল বোতাম টিপুন {
10056,দ্রুত সেটআপ মূল কৌশলগুলি সেট আপ করা সহজ করে তোলে {
10057,ভারসাম্য এখন প্রাথমিক কৌশল 
10058,আসুন সেটিংস পরিবর্তন করুন {
10059,লাইন / পরিচালনা করুন ক্লিক করুন {
10060,লাইন ম্যাচ / অপারেশন এমন একটি কৌশল যা লাইন ম্যাচে দেখা লাভগুলি পরিচালনা করে গেমটি শেষ করে {
10061,আসুন লাইন অফ-লাইন অপারেশনে কৌশল পরিবর্তন করুন {
10062,সেটিংস বোতাম টিপুন 
10063,দলটির কৌশলটি এখন লাইন-টু-রান দিয়ে পরিবর্তিত হয়েছে 
10064,এই দ্রুত সেটআপটি আপনার দলের কৌশল পরিবর্তন করা সহজ করে তোলে {
